complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
14,143.08727,x4 * ((square(x23 * x1) * ((0.23493424 / x0) - -9.108971)) + x9),0.0210683690828416,x4*(x9 + (x1**2*x23**2)*(-1*(-9.108971) + 0.23493424/x0)),PySRFunction(X=>x4*(x9 + (x1**2*x23**2)*(-1*(-9.108971) + 0.23493424/x0))),(t - sqrt(t)) * ((square((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * (exp(C_pg * C_eth * -5.6564804e-5 * C_eth))) * ((0.23493424 / (C_pg * C_eth * -5.6564804e-5 * C_eth)) - -9.108971)) + (C_pg / C_pol))
15,143.08725,x4 * ((square(x23 * x1) * ((0.23493424 / log(x1)) - -9.108971)) + x9),1.3977484769465788e-07,x4*(x1**2*x23**2*(9.108971 + 0.23493424/log(x1)) + x9),PySRFunction(X=>x4*(x1**2*x23**2*(9.108971 + 0.23493424/log(x1)) + x9)),(t - sqrt(t)) * ((square((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * (exp(C_pg * C_eth * -5.6564804e-5 * C_eth))) * ((0.23493424 / log((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)))) - -9.108971)) + (C_pg / C_pol))
16,141.41644,(x4 * ((square(x23 * x1) * ((0.23232354 / x0) - -9.024145)) + x9)) + 1.8431432,0.01174557144398,x4*(x9 + (x1**2*x23**2)*(-1*(-9.024145) + 0.23232354/x0)) + 1.8431432,PySRFunction(X=>x4*(x9 + (x1**2*x23**2)*(-1*(-9.024145) + 0.23232354/x0)) + 1.8431432),((t - sqrt(t)) * ((square((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * (exp(C_pg * C_eth * -5.6564804e-5 * C_eth))) * ((0.23232354 / (C_pg * C_eth * -5.6564804e-5 * C_eth)) - -9.024145)) + (C_pg / C_pol))) + 1.8431432
17,139.81943,x4 * (square(x9) + ((6.9493556 - (-0.18609412 / x0)) * (exp(x1 * x23) - 1.3883458))),0.0113572082108953,x4*(x9**2 + (6.9493556 - (-1)*0.18609412/x0)*(exp(x1*x23) - 1*1.3883458)),PySRFunction(X=>x4*(x9**2 + (6.9493556 - (-1)*0.18609412/x0)*(exp(x1*x23) - 1*1.3883458))),(t - sqrt(t)) * (square((C_pg / C_pol)) + ((6.9493556 - (-0.18609412 / (C_pg * C_eth * -5.6564804e-5 * C_eth))) * (exp((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) - 1.3883458)))
18,135.66591,x4 * (square(square(x9)) + ((7.0097957 - (-0.187574 / x0)) * (exp(x23 * x1) - 1.371996))),0.030156485042171,x4*(x9**4 + (7.0097957 - (-1)*0.187574/x0)*(exp(x1*x23) - 1*1.371996)),PySRFunction(X=>x4*(x9**4 + (7.0097957 - (-1)*0.187574/x0)*(exp(x1*x23) - 1*1.371996))),(t - sqrt(t)) * (square(square((C_pg / C_pol))) + ((7.0097957 - (-0.187574 / (C_pg * C_eth * -5.6564804e-5 * C_eth))) * (exp((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * (exp(C_pg * C_eth * -5.6564804e-5 * C_eth))) - 1.371996)))
19,95.53055,(((23.171562 - x19) * -0.43580917) + ((x1 * (x23 * 20.519032)) - (0.06086796 / (x9 + -0.36707586)))) * x4,0.3507492277442997,x4*(x1*x23*20.519032 + (23.171562 - x19)*(-0.43580917) - 0.06086796/(x9 - 0.36707586)),PySRFunction(X=>x4*(x1*x23*20.519032 + (23.171562 - x19)*(-0.43580917) - 0.06086796/(x9 - 0.36707586))),(((23.171562 - (inv(C_pg * C_eth * -5.6564804e-5 * C_eth))) * -0.43580917) + (((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * ((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * 20.519032)) - (0.06086796 / ((C_pg / C_pol) + -0.36707586)))) * (t - sqrt(t))
20,93.775505,x4 * (((x23 * 20.522705) * x1) + (((18.96098 - inv(x0)) - (x0 / (x9 + -0.36235258))) * -0.5026944)),0.0185424104349985,x4*(x23*20.522705*x1 + (-x0/(x9 - 0.36235258) + 18.96098 - 1/x0)*(-0.5026944)),PySRFunction(X=>x4*(x23*20.522705*x1 + (-x0/(x9 - 0.36235258) + 18.96098 - 1/x0)*(-0.5026944))),(t - sqrt(t)) * ((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * 20.522705) * (exp(C_pg * C_eth * -5.6564804e-5 * C_eth))) + (((18.96098 - inv((C_pg * C_eth * -5.6564804e-5 * C_eth))) - ((C_pg * C_eth * -5.6564804e-5 * C_eth) / ((C_pg / C_pol) + -0.36235258))) * -0.5026944))
21,92.64828,x4 * (((((25.358427 - x19) * -0.44790664) + x9) + ((x1 * x23) * 21.068604)) - (0.058475237 / (x9 + -0.36150655))),0.0120932931150255,x4*(x1*x23*21.068604 + x9 + (25.358427 - x19)*(-0.44790664) - 0.058475237/(x9 - 0.36150655)),PySRFunction(X=>x4*(x1*x23*21.068604 + x9 + (25.358427 - x19)*(-0.44790664) - 0.058475237/(x9 - 0.36150655))),(t - sqrt(t)) * (((((25.358427 - (inv(C_pg * C_eth * -5.6564804e-5 * C_eth))) * -0.44790664) + (C_pg / C_pol)) + (((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 21.068604)) - (0.058475237 / ((C_pg / C_pol) + -0.36150655)))
22,90.5828,(((((x1 * x23) * 21.332262) - (0.05714331 / (x9 + -0.36054945))) + square(x9)) + ((25.17956 - x19) * -0.45433503)) * x4,0.0225460385176434,x4*(x1*x23*21.332262 + x9**2 + (25.17956 - x19)*(-0.45433503) - 0.05714331/(x9 - 0.36054945)),PySRFunction(X=>x4*(x1*x23*21.332262 + x9**2 + (25.17956 - x19)*(-0.45433503) - 0.05714331/(x9 - 0.36054945))),((((((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 21.332262) - (0.05714331 / ((C_pg / C_pol) + -0.36054945))) + square((C_pg / C_pol))) + ((25.17956 - (inv(C_pg * C_eth * -5.6564804e-5 * C_eth))) * -0.45433503)) * (t - sqrt(t))
23,86.5439,((((x1 * (x23 * 21.496956)) + square(square(x9))) + ((24.95806 - x19) * -0.45710057)) - (0.058019083 / (x9 + -0.36254966))) * x4,0.045612549904588,x4*(x1*x23*21.496956 + x9**4 + (24.95806 - x19)*(-0.45710057) - 0.058019083/(x9 - 0.36254966)),PySRFunction(X=>x4*(x1*x23*21.496956 + x9**4 + (24.95806 - x19)*(-0.45710057) - 0.058019083/(x9 - 0.36254966))),(((((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * ((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * 21.496956)) + square(square((C_pg / C_pol)))) + ((24.95806 - (inv(C_pg * C_eth * -5.6564804e-5 * C_eth))) * -0.45710057)) - (0.058019083 / ((C_pg / C_pol) + -0.36254966))) * (t - sqrt(t))
24,81.05297,((x23 * (square(square(square(x9))) + (x1 * 21.869354))) + (((25.131811 - x19) * -0.46600994) - (0.059051823 / (x9 + -0.36420465)))) * x4,0.0655489080896056,x4*(x23*(x1*21.869354 + x9**8) + (25.131811 - x19)*(-0.46600994) - 0.059051823/(x9 - 0.36420465)),PySRFunction(X=>x4*(x23*(x1*21.869354 + x9**8) + (25.131811 - x19)*(-0.46600994) - 0.059051823/(x9 - 0.36420465))),(((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * (square(square(square((C_pg / C_pol)))) + ((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * 21.869354))) + (((25.131811 - (inv(C_pg * C_eth * -5.6564804e-5 * C_eth))) * -0.46600994) - (0.059051823 / ((C_pg / C_pol) + -0.36420465)))) * (t - sqrt(t))
25,80.07313,((x23 * (square(square(square(square(x9)))) + (x1 * 21.88246))) + (((24.859125 - x19) * -0.4682106) - (0.060221486 / (x9 + -0.36555007)))) * x4,0.0121625494411218,x4*(x23*(x1*21.88246 + x9**16) + (24.859125 - x19)*(-0.4682106) - 0.060221486/(x9 - 0.36555007)),PySRFunction(X=>x4*(x23*(x1*21.88246 + x9**16) + (24.859125 - x19)*(-0.4682106) - 0.060221486/(x9 - 0.36555007))),(((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * (square(square(square(square((C_pg / C_pol))))) + ((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * 21.88246))) + (((24.859125 - (inv(C_pg * C_eth * -5.6564804e-5 * C_eth))) * -0.4682106) - (0.060221486 / ((C_pg / C_pol) + -0.36555007)))) * (t - sqrt(t))
