t_h,Q
2.18,1930.0834652222657
2.19,1945.8600445799818
2.2,1961.7773994799813
2.21,1977.837930638804
2.22,1994.0440873785403
2.23,2010.398368143839
2.24,2026.9033209538666
2.25,2043.561543779509
2.2600000000000002,2060.3756848351068
2.27,2077.3484427729018
2.2800000000000002,2094.4825667671803
2.29,2111.7808564737866
2.3000000000000003,2129.246161849265
2.31,2146.8813828123507
2.32,2164.6894687288764
2.33,2182.673417699349
2.34,2200.8362756265424
2.35,2219.181135038355
2.36,2237.711133638972
2.37,2256.429452558982
2.38,2275.3393142725845
2.39,2294.443980147321
2.4,2313.7467475889553
2.41,2333.25094674114
2.42,2352.9599366963985
2.43,2372.877101171752
2.44,2393.0058435989918
2.45,2413.3495815762353
2.46,2433.9117406240175
2.47,2454.69574718579
2.48,2475.705020809448
2.49,2496.9429654433884
2.5,2518.4129597777605
2.5100000000000002,2540.118346559103
2.52,2562.062420804597
2.5300000000000002,2584.2484168408528
2.54,2606.6794940916798
2.5500000000000003,2629.3587215398843
2.56,2652.2890607899867
2.57,2675.473347662164
2.58,2698.9142722529987
2.59,2722.6143574059947
2.6,2746.5759355448013
2.61,2770.80112383485
2.62,2795.2917976552226
2.63,2820.049562382257
2.64,2845.075723510147
2.65,2870.371255161868
2.66,2895.9367670765037
2.67,2921.772470196618
2.68,2947.878141021857
2.69,2974.253084942371
2.7,3000.896098817721
2.71,3027.8054331231465
2.72,3054.9787540447005
2.73,3082.413105966713
2.74,3110.104874857879
2.75,3138.049753124207
2.7600000000000002,3166.2427065558622
2.77,3194.67794404806
2.7800000000000002,3223.3488908207137
2.79,3252.2481658942943
2.8000000000000003,3281.367564597108
2.81,3310.698046878525
2.82,3340.2297321805927
2.83,3369.951901574131
2.84,3399.8530077928713
2.85,3429.9206936992205
2.86,3460.1418195878664
2.87,3490.502499579906
2.88,3520.988147183338
2.89,3551.58352989986
2.9,3582.272832548711
2.91,3613.0397287629503
2.92,3643.8674599000674
2.93,3674.738920405899
2.94,3705.6367484873426
2.95,3736.543420793585
2.96,3767.4413496850266
2.97,3798.3129815895923
2.98,3829.140894911689
2.99,3859.907895971482
3.0,3890.5971115107864
3.0100000000000002,3921.1920764038637
3.02,3951.6768153517396
3.0300000000000002,3982.0359175106346
3.04,4012.254603200707
3.0500000000000003,4042.318782051894
3.06,4072.2151021602767
3.0700000000000003,4101.930990042693
3.08,4131.454681381497
3.09,4160.7752427390205
3.1,4189.882584587323
3.11,4218.767466139591
3.12,4247.421492583154
3.13,4275.837105399851
3.14,4304.007566517967
3.15,4331.926937073012
3.16,4359.590051564537
3.17,4386.992488185969
3.18,4414.130536077528
3.19,4441.001160211805
3.2,4467.601964571024
3.21,4493.931154217399
3.22,4519.987496796018
3.23,4545.770283945941
3.24,4571.279293031518
3.25,4596.514749544078
3.2600000000000002,4621.4772904653
3.27,4646.167928828734
3.2800000000000002,4670.5880196655935
3.29,4694.739227475591
3.3000000000000003,4718.623495323208
3.31,4742.243015624519
3.3200000000000003,4765.600202659182
3.33,4788.697666816337
3.34,4811.538190561538
3.35,4834.124706094095
3.36,4856.460274649944
3.37,4878.548067394048
3.38,4900.391347837886
3.39,4921.993455711519
3.4,4943.357792215664
3.41,4964.487806576829
3.42,4985.386983827624
3.43,5006.058833734526
3.44,5026.50688079655
3.45,5046.734655240113
3.46,5066.7456849378395
3.47,5086.543488181897
3.48,5106.131567245617
3.49,5125.51340267052
3.5,5144.692448219351
3.5100000000000002,5163.672126439207
3.52,5182.455824782402
3.5300000000000002,5201.046892236132
3.54,5219.448636415396
3.5500000000000003,5237.664321076847
3.56,5255.697164014413
3.5700000000000003,5273.550335300459
3.58,5291.226955839106
3.59,5308.730096200974
3.6,5326.062775711109
3.61,5343.2279617642225
3.62,5360.228569343518
3.63,5377.067460721441
3.64,5393.747445322573
3.65,5410.271279730622
3.66,5426.641667823108
3.67,5442.8612610188
3.68,5458.932658624362
3.69,5474.858408267899
3.7,5490.6410064082875
3.71,5506.282898910207
3.72,5521.786481675781
3.73,5537.154101324601
3.74,5552.388055914767
3.75,5567.490595698256
3.7600000000000002,5582.463923904663
3.77,5597.310197547941
3.7800000000000002,5612.031528251339
3.79,5626.629983086243
3.8000000000000003,5641.107585421089
3.81,5655.466315776944
3.8200000000000003,5669.7081126867115
3.83,5683.8348735552945
3.84,5697.848455518324
3.85,5711.750676297382
3.86,5725.543315049872
3.87,5739.2281132119415
3.88,5752.806775333056
3.89,5766.28096990102
3.9,5779.652330156407
3.91,5792.922454895511
3.92,5806.092909261068
3.93,5819.165225520124
3.94,5832.1409038285265
3.95,5845.021412981626
3.96,5857.808191150849
3.97,5870.502646605897
3.98,5883.106158422385
3.99,5895.620077174793
4.0,5908.045725614671
4.01,5920.3843993340815
4.0200000000000005,5932.63736741429
4.03,5944.805873059787
4.04,5956.8911342177225
4.05,5968.894344182883
4.0600000000000005,5980.81667218836
4.07,5992.659263982077
4.08,6004.423242389386
4.09,6016.109707861898
4.1,6027.719739012809
4.11,6039.254393138938
4.12,6050.71470672969
