pop_size,ngen,cxpb,tournsize,tree_len_max,init_depth_max,alpha_complexity,seed,size,sec,train_MSE,train_MSE_norm,test_MSE,test_MSE_norm,best_infix
4000,250,0.6,7,25,4,0.0005,641103,19,5073.2,4365142.429,0.482375816,7451210.153,0.823405796,(Q - ((((log(1+exp(2.5878410530395666)))**2 * ((Q)**2 - (C2 - (C1 - C3)))) - log(1+exp((Q)**2))))**2)
4000,250,0.6,5,20,4,0.0005,233800,17,3641.55,983474.3458,0.108680128,1869371.749,0.206577388,(Q - ((((Q - log(1+exp((((C3 + 4.481534686305712) + C1) / C2)))))**2)**2 + log(1+exp(Q))))
4000,250,0.6,5,20,4,0.0005,3164431,20,10677.32,1235104.543,0.136486855,1871403.996,0.206801964,(Q - (log(1+exp(((log(1+exp(log(1+exp((C3 * -7.920401520473236))))) / (C2 * C1)) + ((C2 * C1) - (Q)**2)))))**2)
4000,250,0.6,5,20,4,0.0005,1062933,20,7676.26,1166263.538,0.128879489,2177720.507,0.240651874,(((log(1+exp((((Q + C1) - (C2 * C3)))**2)) - C1))**2 + (Q - (-0.08732322883576105 - (C2 * C3))))
4000,250,0.6,5,25,4,0.0005,3417106,16,6262.75,64100.63292,0.007083525,188101.1509,0.020786366,(log(1+exp((log(1+exp(C2)) - (C3 - ((Q + C1) + Q))))) / (log(1+exp((Q)**2)))**2)
4000,250,0.6,5,25,4,0.0005,5447906,21,2776.26,983598.8048,0.108693882,1870675.587,0.206721471,log(1+exp((Q - ((Q - (((Q - (Q)**2))**2 + ((Q - log(1+exp(((C2 - C1) - C3)))))**2)))**2)))
4000,250,0.6,5,25,4,0.0005,8799780,22,8716.08,981080.408,0.108415583,1863171.096,0.205892177,((Q - log(1+exp((Q - log(1+exp((log(1+exp(Q)) - log(1+exp((C3 * (C1 - (C2 * C1)))))))))))) + ((Q * Q))**2)
4000,250,0.6,5,30,4,0.0005,7131067,29,16042.23,821512.7319,0.090782347,1538988.274,0.170067927,(((Q)**2)**2 + (Q - log(1+exp((Q - log(1+exp((log(1+exp(Q)) - log(1+exp((log(1+exp(Q)) - log(1+exp(log(1+exp((((C3 - C2) * C1) * (C2 - (C2)**2)))))))))))))))))
4000,250,0.6,5,30,4,0.0005,1175312,17,11836.64,55425.74483,0.006124895,197288.6201,0.021801639,((Q + log(1+exp(Q))) / log(1+exp((((Q)**2 + log(1+exp((C1 - log(1+exp((C3 * C2))))))))**2)))
4000,250,0.6,5,30,4,0.0005,1433841,17,5663.34,989903.1608,0.109390553,1871706.186,0.206835358,(Q - ((((Q)**2 * Q))**2 + log(1+exp(((C2 * ((C1 * 0.3253479250810174))**2) * C3)))))
